2020-02-15 21:04:26.105  INFO 7832 --- [main] e.d.EmployeeManagementServiceApplication : Starting EmployeeManagementServiceApplication on MSI with PID 7832 (C:\srccode\MS\employee-management-service\target\classes started by mrajn in C:\srccode\MS\employee-management-service)
2020-02-15 21:04:26.110  INFO 7832 --- [main] e.d.EmployeeManagementServiceApplication : No active profile set, falling back to default profiles: default
2020-02-15 21:04:26.795  INFO 7832 --- [main] .s.d.r.c.RepositoryConfigurationDelegate : Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2020-02-15 21:04:26.863  INFO 7832 --- [main] .s.d.r.c.RepositoryConfigurationDelegate : Finished Spring Data repository scanning in 57ms. Found 1 JPA repository interfaces.
2020-02-15 21:04:27.275  INFO 7832 --- [main] trationDelegate$BeanPostProcessorChecker : Bean 'org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration' of type [org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2020-02-15 21:04:27.849  INFO 7832 --- [main] o.s.b.w.embedded.tomcat.TomcatWebServer  : Tomcat initialized with port(s): 8080 (http)
2020-02-15 21:04:27.863  INFO 7832 --- [main] o.apache.catalina.core.StandardService   : Starting service [Tomcat]
2020-02-15 21:04:27.863  INFO 7832 --- [main] org.apache.catalina.core.StandardEngine  : Starting Servlet engine: [Apache Tomcat/9.0.30]
2020-02-15 21:04:28.018  INFO 7832 --- [main] o.a.c.c.C.[Tomcat].[localhost].[/]       : Initializing Spring embedded WebApplicationContext
2020-02-15 21:04:28.019  INFO 7832 --- [main] o.s.web.context.ContextLoader            : Root WebApplicationContext: initialization completed in 1839 ms
2020-02-15 21:04:28.416  INFO 7832 --- [main] o.hibernate.jpa.internal.util.LogHelper  : HHH000204: Processing PersistenceUnitInfo [name: default]
2020-02-15 21:04:28.670  INFO 7832 --- [main] org.hibernate.Version                    : HHH000412: Hibernate Core {5.4.10.Final}
2020-02-15 21:04:28.978  INFO 7832 --- [main] o.hibernate.annotations.common.Version   : HCANN000001: Hibernate Commons Annotations {5.1.0.Final}
2020-02-15 21:04:29.205  INFO 7832 --- [main] com.zaxxer.hikari.HikariDataSource       : HikariPool-1 - Starting...
2020-02-15 21:04:29.519  INFO 7832 --- [main] com.zaxxer.hikari.HikariDataSource       : HikariPool-1 - Start completed.
2020-02-15 21:04:29.552  INFO 7832 --- [main] org.hibernate.dialect.Dialect            : HHH000400: Using dialect: org.hibernate.dialect.MySQL5Dialect
2020-02-15 21:04:30.920  INFO 7832 --- [main] o.h.e.t.j.p.i.JtaPlatformInitiator       : HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
2020-02-15 21:04:30.932  INFO 7832 --- [main] j.LocalContainerEntityManagerFactoryBean : Initialized JPA EntityManagerFactory for persistence unit 'default'
2020-02-15 21:04:31.510  WARN 7832 --- [main] JpaBaseConfiguration$JpaWebConfiguration : spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2020-02-15 21:04:31.771  INFO 7832 --- [main] o.s.s.concurrent.ThreadPoolTaskExecutor  : Initializing ExecutorService 'applicationTaskExecutor'
2020-02-15 21:04:32.147  INFO 7832 --- [main] o.s.b.w.embedded.tomcat.TomcatWebServer  : Tomcat started on port(s): 8080 (http) with context path ''
2020-02-15 21:04:32.150  INFO 7832 --- [main] e.d.EmployeeManagementServiceApplication : Started EmployeeManagementServiceApplication in 6.463 seconds (JVM running for 6.866)
2020-02-15 21:04:37.288  INFO 7832 --- [http-nio-8080-exec-1] o.a.c.c.C.[Tomcat].[localhost].[/]       : Initializing Spring DispatcherServlet 'dispatcherServlet'
2020-02-15 21:04:37.289  INFO 7832 --- [http-nio-8080-exec-1] o.s.web.servlet.DispatcherServlet        : Initializing Servlet 'dispatcherServlet'
2020-02-15 21:04:37.309  INFO 7832 --- [http-nio-8080-exec-1] o.s.web.servlet.DispatcherServlet        : Completed initialization in 19 ms
2020-02-15 21:04:37.371  INFO 7832 --- [http-nio-8080-exec-1] c.j.m.e.d.controller.EmployeeController  : Starting to fetch all employees info for request :REQ0.5972115662404887
2020-02-15 21:04:37.981  INFO 7832 --- [http-nio-8080-exec-1] c.j.m.e.d.controller.EmployeeController  : [Time: 610 ms] [RequestID: REQ0.5972115662404887 ] [Respone: [Employee [id=1, name=mukesh, department=test, salary=100000.0], Employee [id=2, name=Ravi, department=test, salary=100000.0]] ]{} {}
2020-02-15 21:04:39.736  INFO 7832 --- [http-nio-8080-exec-2] c.j.m.e.d.controller.EmployeeController  : Starting to fetch all employees info for request :REQ0.08696900300933652
2020-02-15 21:04:39.744  INFO 7832 --- [http-nio-8080-exec-2] c.j.m.e.d.controller.EmployeeController  : [Time: 8 ms] [RequestID: REQ0.08696900300933652 ] [Respone: [Employee [id=1, name=mukesh, department=test, salary=100000.0], Employee [id=2, name=Ravi, department=test, salary=100000.0]] ]{} {}
2020-02-15 21:04:40.269  INFO 7832 --- [http-nio-8080-exec-3] c.j.m.e.d.controller.EmployeeController  : Starting to fetch all employees info for request :REQ0.6694839975004698
2020-02-15 21:04:40.274  INFO 7832 --- [http-nio-8080-exec-3] c.j.m.e.d.controller.EmployeeController  : [Time: 5 ms] [RequestID: REQ0.6694839975004698 ] [Respone: [Employee [id=1, name=mukesh, department=test, salary=100000.0], Employee [id=2, name=Ravi, department=test, salary=100000.0]] ]{} {}
2020-02-15 21:04:40.491  INFO 7832 --- [http-nio-8080-exec-4] c.j.m.e.d.controller.EmployeeController  : Starting to fetch all employees info for request :REQ0.18712464991847744
2020-02-15 21:04:40.497  INFO 7832 --- [http-nio-8080-exec-4] c.j.m.e.d.controller.EmployeeController  : [Time: 6 ms] [RequestID: REQ0.18712464991847744 ] [Respone: [Employee [id=1, name=mukesh, department=test, salary=100000.0], Employee [id=2, name=Ravi, department=test, salary=100000.0]] ]{} {}
2020-02-15 21:04:40.691  INFO 7832 --- [http-nio-8080-exec-5] c.j.m.e.d.controller.EmployeeController  : Starting to fetch all employees info for request :REQ0.9657353696785235
2020-02-15 21:04:40.697  INFO 7832 --- [http-nio-8080-exec-5] c.j.m.e.d.controller.EmployeeController  : [Time: 6 ms] [RequestID: REQ0.9657353696785235 ] [Respone: [Employee [id=1, name=mukesh, department=test, salary=100000.0], Employee [id=2, name=Ravi, department=test, salary=100000.0]] ]{} {}
2020-02-15 21:04:40.876  INFO 7832 --- [http-nio-8080-exec-6] c.j.m.e.d.controller.EmployeeController  : Starting to fetch all employees info for request :REQ0.2539406596914633
2020-02-15 21:04:40.882  INFO 7832 --- [http-nio-8080-exec-6] c.j.m.e.d.controller.EmployeeController  : [Time: 6 ms] [RequestID: REQ0.2539406596914633 ] [Respone: [Employee [id=1, name=mukesh, department=test, salary=100000.0], Employee [id=2, name=Ravi, department=test, salary=100000.0]] ]{} {}
2020-02-15 21:04:41.071  INFO 7832 --- [http-nio-8080-exec-7] c.j.m.e.d.controller.EmployeeController  : Starting to fetch all employees info for request :REQ0.811758041105207
2020-02-15 21:04:41.074  INFO 7832 --- [http-nio-8080-exec-7] c.j.m.e.d.controller.EmployeeController  : [Time: 3 ms] [RequestID: REQ0.811758041105207 ] [Respone: [Employee [id=1, name=mukesh, department=test, salary=100000.0], Employee [id=2, name=Ravi, department=test, salary=100000.0]] ]{} {}
2020-02-15 21:04:41.270  INFO 7832 --- [http-nio-8080-exec-8] c.j.m.e.d.controller.EmployeeController  : Starting to fetch all employees info for request :REQ0.2963268447005053
2020-02-15 21:04:41.276  INFO 7832 --- [http-nio-8080-exec-8] c.j.m.e.d.controller.EmployeeController  : [Time: 6 ms] [RequestID: REQ0.2963268447005053 ] [Respone: [Employee [id=1, name=mukesh, department=test, salary=100000.0], Employee [id=2, name=Ravi, department=test, salary=100000.0]] ]{} {}
2020-02-15 21:04:41.456  INFO 7832 --- [http-nio-8080-exec-9] c.j.m.e.d.controller.EmployeeController  : Starting to fetch all employees info for request :REQ0.9709762200721903
2020-02-15 21:04:41.460  INFO 7832 --- [http-nio-8080-exec-9] c.j.m.e.d.controller.EmployeeController  : [Time: 4 ms] [RequestID: REQ0.9709762200721903 ] [Respone: [Employee [id=1, name=mukesh, department=test, salary=100000.0], Employee [id=2, name=Ravi, department=test, salary=100000.0]] ]{} {}
2020-02-15 21:04:41.636  INFO 7832 --- [http-nio-8080-exec-10] c.j.m.e.d.controller.EmployeeController  : Starting to fetch all employees info for request :REQ0.8370840815379853
2020-02-15 21:04:41.641  INFO 7832 --- [http-nio-8080-exec-10] c.j.m.e.d.controller.EmployeeController  : [Time: 5 ms] [RequestID: REQ0.8370840815379853 ] [Respone: [Employee [id=1, name=mukesh, department=test, salary=100000.0], Employee [id=2, name=Ravi, department=test, salary=100000.0]] ]{} {}
2020-02-15 21:04:41.834  INFO 7832 --- [http-nio-8080-exec-1] c.j.m.e.d.controller.EmployeeController  : Starting to fetch all employees info for request :REQ0.2864987455156284
2020-02-15 21:04:41.838  INFO 7832 --- [http-nio-8080-exec-1] c.j.m.e.d.controller.EmployeeController  : [Time: 4 ms] [RequestID: REQ0.2864987455156284 ] [Respone: [Employee [id=1, name=mukesh, department=test, salary=100000.0], Employee [id=2, name=Ravi, department=test, salary=100000.0]] ]{} {}
2020-02-15 21:04:42.037  INFO 7832 --- [http-nio-8080-exec-2] c.j.m.e.d.controller.EmployeeController  : Starting to fetch all employees info for request :REQ0.9891591250620794
2020-02-15 21:04:42.042  INFO 7832 --- [http-nio-8080-exec-2] c.j.m.e.d.controller.EmployeeController  : [Time: 5 ms] [RequestID: REQ0.9891591250620794 ] [Respone: [Employee [id=1, name=mukesh, department=test, salary=100000.0], Employee [id=2, name=Ravi, department=test, salary=100000.0]] ]{} {}
2020-02-15 21:08:03.478  INFO 8532 --- [main] e.d.EmployeeManagementServiceApplication : Starting EmployeeManagementServiceApplication on MSI with PID 8532 (C:\srccode\MS\employee-management-service\target\classes started by mrajn in C:\srccode\MS\employee-management-service)
2020-02-15 21:08:03.481  INFO 8532 --- [main] e.d.EmployeeManagementServiceApplication : No active profile set, falling back to default profiles: default
2020-02-15 21:08:04.179  INFO 8532 --- [main] .s.d.r.c.RepositoryConfigurationDelegate : Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2020-02-15 21:08:04.248  INFO 8532 --- [main] .s.d.r.c.RepositoryConfigurationDelegate : Finished Spring Data repository scanning in 57ms. Found 1 JPA repository interfaces.
2020-02-15 21:08:04.716  INFO 8532 --- [main] trationDelegate$BeanPostProcessorChecker : Bean 'org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration' of type [org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2020-02-15 21:08:05.408  INFO 8532 --- [main] o.s.b.w.embedded.tomcat.TomcatWebServer  : Tomcat initialized with port(s): 8080 (http)
2020-02-15 21:08:05.423  INFO 8532 --- [main] o.apache.catalina.core.StandardService   : Starting service [Tomcat]
2020-02-15 21:08:05.423  INFO 8532 --- [main] org.apache.catalina.core.StandardEngine  : Starting Servlet engine: [Apache Tomcat/9.0.30]
2020-02-15 21:08:05.542  INFO 8532 --- [main] o.a.c.c.C.[Tomcat].[localhost].[/]       : Initializing Spring embedded WebApplicationContext
2020-02-15 21:08:05.544  INFO 8532 --- [main] o.s.web.context.ContextLoader            : Root WebApplicationContext: initialization completed in 2010 ms
2020-02-15 21:08:05.939  INFO 8532 --- [main] o.hibernate.jpa.internal.util.LogHelper  : HHH000204: Processing PersistenceUnitInfo [name: default]
2020-02-15 21:08:06.192  INFO 8532 --- [main] org.hibernate.Version                    : HHH000412: Hibernate Core {5.4.10.Final}
2020-02-15 21:08:06.636  INFO 8532 --- [main] o.hibernate.annotations.common.Version   : HCANN000001: Hibernate Commons Annotations {5.1.0.Final}
2020-02-15 21:08:06.751  INFO 8532 --- [main] com.zaxxer.hikari.HikariDataSource       : HikariPool-1 - Starting...
2020-02-15 21:08:06.946  INFO 8532 --- [main] com.zaxxer.hikari.HikariDataSource       : HikariPool-1 - Start completed.
2020-02-15 21:08:06.963  INFO 8532 --- [main] org.hibernate.dialect.Dialect            : HHH000400: Using dialect: org.hibernate.dialect.MySQL5Dialect
2020-02-15 21:08:07.741  INFO 8532 --- [main] o.h.e.t.j.p.i.JtaPlatformInitiator       : HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
2020-02-15 21:08:07.757  INFO 8532 --- [main] j.LocalContainerEntityManagerFactoryBean : Initialized JPA EntityManagerFactory for persistence unit 'default'
2020-02-15 21:08:08.412  WARN 8532 --- [main] JpaBaseConfiguration$JpaWebConfiguration : spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2020-02-15 21:08:08.759  INFO 8532 --- [main] o.s.s.concurrent.ThreadPoolTaskExecutor  : Initializing ExecutorService 'applicationTaskExecutor'
2020-02-15 21:08:09.221  INFO 8532 --- [main] o.s.b.w.embedded.tomcat.TomcatWebServer  : Tomcat started on port(s): 8080 (http) with context path ''
2020-02-15 21:08:09.223  INFO 8532 --- [main] e.d.EmployeeManagementServiceApplication : Started EmployeeManagementServiceApplication in 6.174 seconds (JVM running for 6.733)
2020-02-15 21:08:21.407  INFO 8532 --- [http-nio-8080-exec-1] o.a.c.c.C.[Tomcat].[localhost].[/]       : Initializing Spring DispatcherServlet 'dispatcherServlet'
2020-02-15 21:08:21.408  INFO 8532 --- [http-nio-8080-exec-1] o.s.web.servlet.DispatcherServlet        : Initializing Servlet 'dispatcherServlet'
2020-02-15 21:08:21.437  INFO 8532 --- [http-nio-8080-exec-1] o.s.web.servlet.DispatcherServlet        : Completed initialization in 27 ms
2020-02-15 21:08:21.495  INFO 8532 --- [http-nio-8080-exec-1] c.j.m.e.d.controller.EmployeeController  : Starting to fetch all employees info for request :REQ0.4980303492326986
2020-02-15 21:08:22.142  INFO 8532 --- [http-nio-8080-exec-1] c.j.m.e.d.controller.EmployeeController  : [Time: 648 ms] [RequestID: REQ0.4980303492326986 ] [Respone: [Employee [id=1, name=mukesh, department=test, salary=100000.0], Employee [id=2, name=Ravi, department=test, salary=100000.0]] ]{} {}
2020-02-15 21:08:25.161  INFO 8532 --- [http-nio-8080-exec-2] c.j.m.e.d.controller.EmployeeController  : Starting to fetch all employees info for request :REQ0.1846127681679578
2020-02-15 21:08:25.179  INFO 8532 --- [http-nio-8080-exec-2] c.j.m.e.d.controller.EmployeeController  : [Time: 18 ms] [RequestID: REQ0.1846127681679578 ] [Respone: [Employee [id=1, name=mukesh, department=test, salary=100000.0], Employee [id=2, name=Ravi, department=test, salary=100000.0]] ]{} {}
2020-02-15 21:08:26.435  INFO 8532 --- [http-nio-8080-exec-3] c.j.m.e.d.controller.EmployeeController  : Starting to fetch all employees info for request :REQ0.27991776020369596
2020-02-15 21:08:26.450  INFO 8532 --- [http-nio-8080-exec-3] c.j.m.e.d.controller.EmployeeController  : [Time: 15 ms] [RequestID: REQ0.27991776020369596 ] [Respone: [Employee [id=1, name=mukesh, department=test, salary=100000.0], Employee [id=2, name=Ravi, department=test, salary=100000.0]] ]{} {}
2020-02-15 21:08:27.351  INFO 8532 --- [http-nio-8080-exec-4] c.j.m.e.d.controller.EmployeeController  : Starting to fetch all employees info for request :REQ0.019127006729238838
2020-02-15 21:08:27.364  INFO 8532 --- [http-nio-8080-exec-4] c.j.m.e.d.controller.EmployeeController  : [Time: 14 ms] [RequestID: REQ0.019127006729238838 ] [Respone: [Employee [id=1, name=mukesh, department=test, salary=100000.0], Employee [id=2, name=Ravi, department=test, salary=100000.0]] ]{} {}
2020-02-15 21:08:28.351  INFO 8532 --- [http-nio-8080-exec-5] c.j.m.e.d.controller.EmployeeController  : Starting to fetch all employees info for request :REQ0.47138376101034574
2020-02-15 21:08:28.367  INFO 8532 --- [http-nio-8080-exec-5] c.j.m.e.d.controller.EmployeeController  : [Time: 16 ms] [RequestID: REQ0.47138376101034574 ] [Respone: [Employee [id=1, name=mukesh, department=test, salary=100000.0], Employee [id=2, name=Ravi, department=test, salary=100000.0]] ]{} {}
2020-02-15 21:08:29.141  INFO 8532 --- [http-nio-8080-exec-6] c.j.m.e.d.controller.EmployeeController  : Starting to fetch all employees info for request :REQ0.8004421103694781
2020-02-15 21:08:29.158  INFO 8532 --- [http-nio-8080-exec-6] c.j.m.e.d.controller.EmployeeController  : [Time: 17 ms] [RequestID: REQ0.8004421103694781 ] [Respone: [Employee [id=1, name=mukesh, department=test, salary=100000.0], Employee [id=2, name=Ravi, department=test, salary=100000.0]] ]{} {}
2020-02-15 21:08:29.883  INFO 8532 --- [http-nio-8080-exec-7] c.j.m.e.d.controller.EmployeeController  : Starting to fetch all employees info for request :REQ0.8201346460035794
